PLANT_ID,DATE_TIME,PLANT_NO,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAYOFWEEK,DAYOFYEAR,MONTH,HOUR_SIN,HOUR_COS,IS_DAYLIGHT,OM_TEMPERATURE_2M,OM_RELATIVE_HUMIDITY_2M,OM_DEW_POINT_2M,OM_APPARENT_TEMPERATURE,OM_PRESSURE_MSL,OM_SURFACE_PRESSURE,OM_PRECIPITATION,OM_CLOUD_COVER,OM_WIND_SPEED_10M,OM_WIND_DIRECTION_10M,OM_SHORTWAVE_RADIATION,OM_DIRECT_RADIATION,OM_DIFFUSE_RADIATION,OM_DIRECT_NORMAL_IRRADIANCE,OM_SUNSHINE_DURATION,PLANT_NO_1,PLANT_NO_2,AC_POWER_TOTAL
4135001,2020-05-15 00:00:00,1,-0.49498109292721443,-0.7904321087132992,-0.756396257544003,-1.6609378796903396,-1.3413098163428934,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,-0.0031639844424487655,1.4183555174050562,-1.0886621079036347,-0.19266127466951993,0.5013052970237012,1.0975756761105204,0.09168697593533896,0.1965927053938107,1.0868802774812605,-0.16584357540288922,-1.1033144251815301,0.08050259679674611,-1.8028784400493327,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,1,0,0.0
4136001,2020-05-15 00:00:00,2,-0.05302299394864228,-0.6126750467571247,-0.756396257544003,-1.6609378796903396,-1.3413098163428934,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,-0.0031639844424487655,1.4183555174050562,-1.0886621079036347,-0.31024409648494733,-0.16283774794317385,-0.2999122075057354,-0.28705520918424193,0.8779095196187515,-0.8738406019119367,-0.16584357540288922,1.149322643345438,-1.3454150719557287,0.4730741675747164,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,0,1,0.0
4135001,2020-05-15 00:15:00,1,-0.5191923706322087,-0.7981642817763348,-0.756396257544003,-1.6609378796903396,-0.44681283215579826,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.08920132301817832,1.415323324938407,-1.0886621079036347,-0.19266127466951993,0.5013052970237012,1.0975756761105204,0.09168697593533896,0.1965927053938107,1.0868802774812605,-0.16584357540288922,-1.1033144251815301,0.08050259679674611,-1.8028784400493327,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,1,0,0.0
4136001,2020-05-15 00:15:00,2,-0.08311543338121417,-0.6642220478441445,-0.756396257544003,-1.6609378796903396,-0.44681283215579826,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.08920132301817832,1.415323324938407,-1.0886621079036347,-0.31024409648494733,-0.16283774794317385,-0.2999122075057354,-0.28705520918424193,0.8779095196187515,-0.8738406019119367,-0.16584357540288922,1.149322643345438,-1.3454150719557287,0.4730741675747164,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,0,1,0.0
4135001,2020-05-15 00:30:00,1,-0.5553259601339883,-0.8118281512271405,-0.756396257544003,-1.6609378796903396,0.4476841520312969,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.1811711080520791,1.4062397318521118,-1.0886621079036347,-0.19266127466951993,0.5013052970237012,1.0975756761105204,0.09168697593533896,0.1965927053938107,1.0868802774812605,-0.16584357540288922,-1.1033144251815301,0.08050259679674611,-1.8028784400493327,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,1,0,0.0
4136001,2020-05-15 00:30:00,2,-0.13136832714472663,-0.66378465215729,-0.756396257544003,-1.6609378796903396,0.4476841520312969,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.1811711080520791,1.4062397318521118,-1.0886621079036347,-0.31024409648494733,-0.16283774794317385,-0.2999122075057354,-0.28705520918424193,0.8779095196187515,-0.8738406019119367,-0.16584357540288922,1.149322643345438,-1.3454150719557287,0.4730741675747164,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,0,1,0.0
4135001,2020-05-15 00:45:00,1,-0.5770839376025763,-0.8305014239631786,-0.756396257544003,-1.6609378796903396,1.3421811362183922,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.2723515419202801,1.3911436354863052,-1.0886621079036347,-0.19266127466951993,0.5013052970237012,1.0975756761105204,0.09168697593533896,0.1965927053938107,1.0868802774812605,-0.16584357540288922,-1.1033144251815301,0.08050259679674611,-1.8028784400493327,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,1,0,0.0
4136001,2020-05-15 00:45:00,2,-0.175423737722276,-0.6643181545547198,-0.756396257544003,-1.6609378796903396,1.3421811362183922,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.2723515419202801,1.3911436354863052,-1.0886621079036347,-0.31024409648494733,-0.16283774794317385,-0.2999122075057354,-0.28705520918424193,0.8779095196187515,-0.8738406019119367,-0.16584357540288922,1.149322643345438,-1.3454150719557287,0.4730741675747164,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,0,1,0.0
4135001,2020-05-15 01:00:00,1,-0.6316122962214977,-0.8462683480019993,-0.756396257544003,-1.5162056938951658,-1.3413098163428934,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.36235217600668274,1.37009967964322,-1.0886621079036347,-0.36903550739266033,0.678410109014868,1.1266900070191916,0.007522045908764427,0.07636032641296026,1.057172385369244,-0.16584357540288922,-1.2342816966075165,-0.3639392739832459,-1.7201165270448218,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,1,0,0.0
4136001,2020-05-15 01:00:00,2,-0.15222443280989548,-0.6104627249424798,-0.756396257544003,-1.5162056938951658,-1.3413098163428934,0.4926136999202688,-1.6796556934895397,-0.7911451666357848,0.36235217600668274,1.37009967964322,-1.0886621079036347,-0.31024409648494733,-0.20711395094096552,-0.41636953114042297,-0.3291376741975285,0.6775222213173037,-0.9035484940239531,-0.16584357540288922,1.149322643345438,-1.4565255396507268,0.19720112422634678,-0.7817968658410546,-0.6928529364256035,-0.8708292235780303,-0.8096069516368899,-0.9113463538488835,0,1,0.0
